snapshot,online_gfm_strength,online_gfl_exposure
124.0,6156.598902906137,5919.33810147534
125.0,6156.598902906137,5919.33810147534
126.0,6156.598902906137,5919.33810147534
127.0,6156.598902906137,5919.33810147534
128.0,6156.598902906137,5919.33810147534
129.0,6156.598902906137,5919.33810147534
130.0,6156.598902906137,5919.33810147534
131.0,6156.598902906137,5919.33810147534
132.0,6156.598902906137,5919.33810147534
133.0,6156.598902906137,5919.33810147534
134.0,6156.598902906137,5919.33810147534
135.0,6156.598902906137,5919.33810147534
136.0,6156.598902906137,5919.33810147534
137.0,6156.598902906137,5919.33810147534
138.0,6156.598902906137,5919.33810147534
139.0,6156.598902906137,5919.33810147534
140.0,6156.598902906137,5919.33810147534
141.0,6156.598902906137,5919.33810147534
142.0,6156.598902906137,5919.33810147534
143.0,6156.598902906137,5919.33810147534
144.0,6156.598902906137,5919.33810147534
145.0,6156.598902906137,5919.33810147534
146.0,6156.598902906137,5919.33810147534
147.0,6156.598902906137,5919.33810147534
148.0,6156.598902906137,5919.33810147534
149.0,6156.598902906137,5919.33810147534
150.0,6156.598902906137,5919.33810147534
151.0,6156.598902906137,5919.33810147534
152.0,6156.598902906137,5919.33810147534
153.0,6156.598902906137,5919.33810147534
154.0,6156.598902906137,5919.33810147534
155.0,6156.598902906137,5919.33810147534
156.0,6156.598902906137,5919.33810147534
157.0,6156.598902906137,5919.33810147534
158.0,6156.598902906137,5919.33810147534
159.0,6156.598902906137,5919.33810147534
160.0,6156.598902906137,5919.33810147534
161.0,6156.598902906137,5919.33810147534
162.0,6156.598902906137,5919.33810147534
163.0,6156.598902906137,5919.33810147534
164.0,6156.598902906137,5919.33810147534
165.0,6156.598902906137,5919.33810147534
166.0,6156.598902906137,5919.33810147534
167.0,6156.598902906137,5919.33810147534
168.0,6156.598902906137,5919.33810147534
