scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
gSCR-GERSH-1p0-INTEGER,15,FR1 0,,,0.0,44472.669642857145,44472.0,0.0,87674.5,28800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,16,GB0 0,,,0.0,53334.43005952381,53263.5,0.0,106146.0,35200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,17,GB5 0,,,0.0,3756.1458333333335,3750.0,0.0,7517.5,2500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,18,GR1 0,,,0.0,11113.0,11113.0,0.0,22063.0,7300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,19,HR1 0,,,0.0,1324.7857142857142,1313.0,0.0,2528.0,800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,20,HU1 0,,,0.0,3436.252976190476,3378.5,0.0,6833.5,2250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,21,IE5 0,,,0.0,6638.705357142857,6625.0,0.0,13240.0,4400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,22,IT1 0,,,0.0,44553.08630952381,44549.5,0.0,88202.0,29090.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,23,IT3 0,,,0.0,5279.650297619048,5265.0,0.0,10532.5,3500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,24,LT6 0,,,0.0,965.0,965.0,0.0,1865.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,25,LU1 0,,,0.0,806.9791666666666,805.0,0.0,1482.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,26,LV6 0,,,0.0,240.0,240.0,0.0,390.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
