snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
88.0,222.74753089730152,222.74753089730152,3.0038163999275147,1.002544266618343,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083503e6,100.0,-148.4961836000725
89.0,222.74753089730152,222.74753089730152,3.0038163999275147,1.002544266618343,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083503e6,100.0,-148.4961836000725
90.0,222.74753089730487,222.74753089730487,3.0038164858250758,1.0025443238833838,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835055e6,100.0,-148.49618351417493
91.0,222.74753089729458,222.74753089729458,3.003816309386149,1.0025442062574328,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083483e6,100.0,-148.49618369061386
92.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
93.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
94.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
95.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
96.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
97.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
98.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
99.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
100.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
101.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
102.0,222.7475308973156,222.7475308973156,3.003815713495817,1.0025438089972114,150.0,5282.5,28.0,0.0,0.0,357390.0,1.083468e6,100.0,-148.4961842865042
103.0,222.74753089731138,222.74753089731138,3.003815713495816,1.0025438089972107,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0834705e6,100.0,-148.4961842865042
