snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
61.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
62.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
63.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
64.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
65.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
66.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
67.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
68.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
69.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
70.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
