scenario_name,t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_r_t,min_local_kappa,median_local_kappa,number_binding_nodes,number_violating_nodes_if_any,total_GFL_exposure,total_GFM_strength
BASE-INTEGER,87.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,88.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,89.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,90.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,91.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,92.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,93.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,94.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,95.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,96.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,97.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,98.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,99.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,100.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,101.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,102.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,103.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
BASE-INTEGER,104.0,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,36.0,36.0,357390.0,11093.0
