scenario_name,carrier,type,invested_blocks,invested_capacity_GW,mean_online_blocks,max_online_blocks,online_block_hours,online_block_fraction_mean,total_dispatch_MWh,total_charge_MWh,total_discharge_MWh,mean_dispatch_utilization,startup_total,shutdown_total,investment_cost_realized,operation_cost_realized,startup_cost_realized,shutdown_cost_realized,mean_GFM_strength_online,max_GFM_strength_online,mean_GFL_exposure_online,max_GFL_exposure_online
gSCR-GERSH-1.5,ror,gfm,0.0,0.0,996.0,996.0,334656.0,1.0,1.3386682342109682e7,0.0,0.0,0.8000264356300011,,,0.0,0.00039591934952955715,0.0,0.0,88.92857142857143,437.5,0.0,0.0
gSCR-GERSH-1.5,solar,gfl,0.13400000000000012,0.006700000000000006,312.6757187390032,488.39933458728024,105059.0414963073,0.10261305171974819,5.252952074815247e6,0.0,0.0,1.0,,,1.1926693866674503e7,0.0001553592828619426,0.7036121529477843,0.0,0.0,0.0,422.5347550527071,2992.86343075589
gSCR-GERSH-1.5,biomass,gfm,0.0,0.0,319.6008036823644,329.0,107385.87003727422,0.9714310142321106,5.225228255473206e6,0.0,0.0,0.9731686773426477,,,0.0,0.00015453933388281067,0.0,0.0,66.58350076715928,372.5,0.0,0.0
gSCR-GERSH-1.5,offwind-dc,gfl,0.0,0.0,56.24218286312693,89.18430437821553,18897.37344201056,0.34294013940931056,1.8897373442010442e6,0.0,0.0,1.0,,,0.0,5.589014223070597e-5,0.0,0.0,0.0,0.0,244.5312298396824,2866.285938376095
gSCR-GERSH-1.5,nuclear,gfm,0.0,0.0,55.89653459878487,56.0,18781.235625191603,0.9316089099797478,2.3506888477101095e7,0.0,0.0,0.9627812709621844,,,0.0,0.0006952306596565577,0.0,0.0,279.48267299392444,2015.0,0.0,0.0
gSCR-GERSH-1.5,geothermal,gfl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gSCR-GERSH-1.5,hydro,gfm,0.0,0.0,4923.0,4923.0,1.654128e6,1.0,0.0,1.8437823391173144e6,3.1097011262772433e7,0.9399820105449044,,,0.0,0.0009197132012867253,0.0,0.0,182.33333333333334,1456.0,0.0,0.0
gSCR-GERSH-1.5,PHS,gfm,0.0,0.0,361.9995676776219,362.0,121631.85473968158,0.999998805739287,0.0,8.975654064767325e6,1.0770563161313137e7,0.5903367548117207,,,0.0,0.00031854601849184365,0.0,0.0,108.5998703032866,442.5,0.0,0.0
gSCR-GERSH-1.5,battery_gfl,gfl,0.01,0.001,0.0009523809523809526,0.01,0.3200000000000001,0.09523809523809526,0.0,17.0,12.0,0.375,,,396341.1111467573,3.5490736785541317e-10,0.02338203911604582,0.0,0.0,0.0,0.002574002574002574,1.0
gSCR-GERSH-1.5,battery_gfm,gfm,8211.49774473258,821.1497744732579,8211.49774473258,8211.497744732582,2.759063242230154e6,1.0,0.0,2.431725442472583e8,2.431616152472583e8,0.8813194693235739,,,3.4579637740968024e11,0.007191654069239597,20400.16590604504,0.0,1109.6618573962944,3117.2608151366803,0.0,0.0
