snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
43.0,-1.8779296056895776e-13,-1.8779296056895776e-13,1.4999999999999993,-4.440892098500626e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35525.192091880366,63249.10270595975,-6.063298011819521e-13,9.088285679581531e-13
44.0,-1.8779296056895776e-13,-1.8779296056895776e-13,1.5,0.0,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35525.19209188038,63249.102705959776,-6.063298011819521e-13,9.094947017729282e-13
45.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.5,0.0,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.654327823955,63249.102705959776,-6.063298011819521e-13,9.094947017729282e-13
46.0,-2.81339156970163e-13,-2.81339156970163e-13,1.499999999999999,-7.401486830834377e-16,-9.094947017729282e-13,35.773503972210904,31.0,18.0,0.0,31083.4164363984,63249.102705959776,-6.063298011819521e-13,9.083844787483031e-13
47.0,-3.079144713647463e-13,-3.079144713647463e-13,1.5000000000000002,1.4802973661668753e-16,-2.2737367544323206e-13,0.0,20.0,20.0,0.0,34944.654327823955,63249.102705959776,-1.5158245029548803e-13,2.275957200481571e-13
48.0,-2.8805317528991634e-13,-2.8805317528991634e-13,1.5000000000000007,4.440892098500626e-16,-4.547473508864641e-13,0.0,33.0,20.0,0.0,34944.654327823955,63249.102705959776,-3.0316490059097606e-13,4.554134847012392e-13
49.0,-3.0386375011389185e-13,-3.0386375011389185e-13,1.4999999999999991,-5.921189464667501e-16,-4.547473508864641e-13,0.0,33.0,21.0,0.0,35444.654327823955,63249.102705959776,-3.0316490059097606e-13,4.53859172466764e-13
50.0,-2.479683250025993e-13,-2.479683250025993e-13,1.4999999999999984,-1.0362081563168128e-15,-4.547473508864641e-13,35.773503972210904,33.0,18.0,0.0,31689.642987151838,63249.102705959776,-3.0316490059097606e-13,4.531930386519889e-13
51.0,-2.639504315230575e-13,-2.639504315230575e-13,1.4999999999999998,-1.4802973661668753e-16,-9.094947017729282e-13,0.0,31.0,19.0,0.0,33638.34753125811,63249.102705959776,-6.063298011819521e-13,9.092726571680032e-13
52.0,-3.1952758489018456e-13,-3.1952758489018456e-13,1.5000000000000002,1.4802973661668753e-16,-9.094947017729282e-13,9.094947017729282e-13,31.0,19.0,0.0,33938.34753125811,63249.102705959776,-6.063298011819521e-13,9.097167463778533e-13
53.0,4.07712358085306e-14,4.07712358085306e-14,1.5000000000000004,2.9605947323337506e-16,-4.547473508864641e-13,0.0,33.0,20.0,0.0,34138.34753125811,63249.102705959776,-3.0316490059097606e-13,4.551914400963142e-13
54.0,-1.975003153871639e-13,-1.975003153871639e-13,1.4999999999999998,-1.4802973661668753e-16,-4.547473508864641e-13,2.2737367544323206e-13,33.0,19.0,0.0,33638.34753125811,63249.102705959776,-3.0316490059097606e-13,4.545253062815391e-13
55.0,-3.347615699929592e-13,-3.347615699929592e-13,1.5000000000000007,4.440892098500626e-16,-2.2737367544323206e-13,0.0,20.0,19.0,0.0,33638.34753125811,63249.102705959776,-1.5158245029548803e-13,2.2803980925800715e-13
56.0,-1.0533164296902122e-13,-1.0533164296902122e-13,1.4999999999999993,-4.440892098500626e-16,-2.2737367544323206e-13,86.55000000000001,20.0,17.0,0.0,28530.512655627237,63249.102705959776,-1.5158245029548803e-13,2.2670754162845697e-13
57.0,-2.8805317528991634e-13,-2.8805317528991634e-13,1.4999999999999987,-8.881784197001252e-16,-4.547473508864641e-13,0.0,33.0,20.0,0.0,34944.654327823955,63249.102705959776,-3.0316490059097606e-13,4.5341508325691393e-13
58.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.4999999999999987,-8.881784197001252e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.654327823955,63249.102705959776,-6.063298011819521e-13,9.08162434143378e-13
59.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.5,0.0,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.654327823955,63249.102705959776,-6.063298011819521e-13,9.094947017729282e-13
60.0,-5.73076414886592e-13,-5.73076414886592e-13,1.4999999999999996,-2.9605947323337506e-16,-2.2737367544323206e-13,0.0,20.0,19.0,0.0,32732.48045106617,63249.102705959776,-1.5158245029548803e-13,2.26929586233382e-13
61.0,-2.8805317528991634e-13,-2.8805317528991634e-13,1.4999999999999993,-4.440892098500626e-16,-4.547473508864641e-13,0.0,33.0,20.0,0.0,34944.90457665519,63249.47807920664,-3.0316490059097606e-13,4.54081217071689e-13
62.0,-2.32484762774501e-13,-2.32484762774501e-13,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.90457665519,63249.47807920664,-6.063298011819521e-13,9.086065233532281e-13
63.0,-2.3868495060570783e-13,-2.3868495060570783e-13,1.4999999999999991,-5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.90457665519,63249.47807920664,-6.063298011819521e-13,9.086065233532281e-13
64.0,-2.8805317528991634e-13,-2.8805317528991634e-13,1.4999999999999993,-4.440892098500626e-16,-4.547473508864641e-13,0.0,33.0,20.0,0.0,34944.90457665519,63249.47807920664,-3.0316490059097606e-13,4.54081217071689e-13
65.0,-2.2967851443224977e-13,-2.2967851443224977e-13,1.4999999999999993,-4.440892098500626e-16,-4.547473508864641e-13,0.0,31.0,20.0,0.0,34944.90457665519,63249.47807920664,-3.0316490059097606e-13,4.54081217071689e-13
66.0,-2.779622957050116e-13,-2.779622957050116e-13,1.4999999999999998,-1.4802973661668753e-16,-9.094947017729282e-13,0.0,31.0,22.0,0.0,36661.46294873475,63249.47807920664,-6.063298011819521e-13,9.092726571680032e-13
67.0,-1.8779296056895776e-13,-1.8779296056895776e-13,1.5000000000000009,5.921189464667501e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,35525.44234071162,63249.47807920664,-6.063298011819521e-13,9.103828801926284e-13
68.0,-2.0109089573773987e-13,-2.0109089573773987e-13,1.4999999999999987,-8.881784197001252e-16,-2.2737367544323206e-13,0.0,20.0,20.0,0.0,34247.0030700747,63249.47807920664,-1.5158245029548803e-13,2.2604140781368187e-13
69.0,-1.9811715069098676e-13,-1.9811715069098676e-13,1.5000000000000004,2.9605947323337506e-16,-9.094947017729282e-13,0.0,31.0,21.0,0.0,36080.92518467832,63249.48341965954,-6.063298011819521e-13,9.099387909827783e-13
70.0,-2.1204638007796234e-13,-2.1204638007796234e-13,1.5000000000000007,4.440892098500626e-16,-9.094947017729282e-13,0.0,31.0,20.0,0.0,34944.90457665519,63249.48341965954,-6.063298011819521e-13,9.101608355877033e-13
71.0,-1.5623335094780302e-13,-1.5623335094780302e-13,1.4999999999999996,-2.9605947323337506e-16,-2.2737367544323206e-13,35.773503972210904,23.0,18.0,0.0,32408.824495594246,63249.48341965954,-1.5158245029548803e-13,2.26929586233382e-13
72.0,-1.992142216417257e-13,-1.992142216417257e-13,1.5000000000000002,1.4802973661668753e-16,-4.547473508864641e-13,35.773503972210904,33.0,18.0,0.0,32284.744883105803,63249.48341965954,-3.0316490059097606e-13,4.549693954913892e-13
73.0,-4.4214609094325507e-13,-4.4214609094325507e-13,1.4999999999999996,-2.9605947323337506e-16,-9.094947017729282e-13,35.773503972210904,31.0,18.0,0.0,32673.02088753687,63249.48341965954,-6.063298011819521e-13,9.090506125630782e-13
74.0,-3.2994847960978996e-13,-3.2994847960978996e-13,1.4999999999999991,-5.921189464667501e-16,-4.547473508864641e-13,35.773503972210904,33.0,18.0,0.0,31426.42390333156,63249.48341965954,-3.0316490059097606e-13,4.53859172466764e-13
75.0,-1.4952656186863683e-13,-1.4952656186863683e-13,1.499999999999999,-7.401486830834377e-16,-4.547473508864641e-13,35.773503972210904,33.0,18.0,0.0,32360.15850945243,63249.48341965954,-3.0316490059097606e-13,4.5363712786183896e-13
