snapshot,online_gfm_strength,online_gfl_exposure
185.0,15382.264773595021,657.9459853948716
186.0,15382.264773595021,723.8004942829571
187.0,15382.264773595021,669.8085196063907
188.0,15382.551508955099,702.7506557875528
189.0,15382.605554348818,623.6506545266454
190.0,15382.611864985287,621.7261908056417
191.0,15382.611864985292,605.5434860203997
192.0,15382.611864985292,519.303497100101
193.0,15383.078862969931,598.7239228113648
194.0,15383.257928910694,621.2467814405804
195.0,15383.257928910694,600.448198148468
196.0,15383.257928910694,557.0851425578862
197.0,15383.257928910694,557.691766054375
198.0,15383.257928910694,621.2467814405804
199.0,15383.257928910694,583.6178279342994
200.0,15383.257928910694,594.3435131589406
201.0,15383.257928910694,630.6928301176886
202.0,15383.257928910694,646.9843679687382
203.0,15383.257928910694,626.5363897765702
204.0,15383.257928910694,676.0143679687382
205.0,15383.257928910694,672.0351130110083
206.0,15383.257928910694,647.4812820975925
207.0,15383.257928910694,583.6172276845805
208.0,15383.257928910694,620.729996529118
209.0,15383.257928910694,601.4460513460887
210.0,15383.257928910694,639.5270586210016
211.0,15383.257928910694,645.7665008404658
212.0,15383.257928910694,567.328146183083
213.0,15383.257928910694,627.4460513460887
214.0,15383.257928910694,588.1217605765036
215.0,15383.257928910694,627.8575004415424
216.0,15383.258989801907,621.2577008796308
217.0,15383.258989801907,556.7577361698259
218.0,15383.258989801907,579.4591175875183
219.0,15383.258989801907,594.1135652848941
220.0,15383.258989801907,529.7903936969365
221.0,15383.258989801907,601.9361630285811
222.0,15383.258989801907,562.2961214128231
223.0,15383.258989801907,601.9361630285811
224.0,15383.258989801907,604.8066958686508
225.0,15383.984951301209,643.8134489213483
226.0,15383.984951301209,622.056583498334
227.0,15383.984951301209,624.4720050508482
228.0,15383.984951301209,605.7562143944605
229.0,15383.984951301209,647.5547976865728
230.0,15383.984951301209,566.6982307244211
231.0,15383.984951301209,620.8860737959909
232.0,15383.984951301209,606.6908345497942
233.0,15384.200672389632,625.9701319031432
234.0,15384.20220738106,671.6800556902078
235.0,15384.20220738106,683.9548873146288
236.0,15384.20220738106,640.3396661461167
237.0,15384.20220738106,670.8294874238885
238.0,15384.20220738106,684.8267115871793
239.0,15384.20220738106,683.8267115871793
240.0,15384.218281193487,638.9745545928481
241.0,15384.218281193487,613.1798709311986
242.0,15384.218281193487,614.9960185024198
243.0,15384.218281193487,625.1586414207013
244.0,15384.218281193487,604.3717276471131
245.0,15384.218281193487,662.8406422246151
246.0,15384.249340305905,648.5453966350601
247.0,15384.249340305905,640.7936635972147
248.0,15384.249340305905,685.8339236216743
249.0,15384.249340305905,704.2157706191231
250.0,15384.249340305905,733.2430749226965
251.0,15384.249340305909,695.729990753527
252.0,15384.249340305909,663.8024821438624
253.0,15384.249340305909,693.4462376976672
254.0,15384.382790659054,694.2424606897528
255.0,15384.382790659054,679.5155539312087
256.0,15384.382790659054,693.2424606897528
257.0,15384.382790659054,671.8260285956599
258.0,15384.382790659054,727.7395061308155
259.0,15384.388152004118,735.9952592780916
260.0,15384.934283022494,715.3382916811394
261.0,15384.934283022494,659.2562094207642
