scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
BASE,15,FR1 0,,,1.0,-42135.5,-42135.5,0.0,1064.5,28800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,16,GB0 0,,,1.0,-52254.0,-52254.0,0.0,546.0,35200.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,17,GB5 0,,,1.0,-3732.5446428571427,-3747.5,0.0,17.5,2500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,18,GR1 0,,,1.0,-10787.0,-10787.0,0.0,163.0,7300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,19,HR1 0,,,1.0,-1072.0,-1072.0,0.0,128.0,800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,20,HU1 0,,,1.0,-3291.5,-3291.5,0.0,83.5,2250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,21,IE5 0,,,1.0,-6560.044642857143,-6575.0,0.0,40.0,4400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,22,IT1 0,,,1.0,-42703.01488095238,-42705.5,0.0,932.0,29090.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,23,IT3 0,,,1.0,-5232.5,-5232.5,0.0,17.5,3500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,24,LT6 0,,,1.0,-835.0,-835.0,0.0,65.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,25,LU1 0,,,1.0,-542.5,-542.5,0.0,132.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,26,LV6 0,,,1.0,-60.044642857142854,-75.0,0.0,90.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,27,ME1 0,,,1.0,-190.5,-190.5,0.0,34.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,28,MK1 0,,,1.0,-150.0,-150.0,0.0,0.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,29,NL1 0,,,1.0,-24970.0,-24970.0,0.0,80.0,16700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,30,NO2 0,,,1.0,-3546.5,-3546.5,0.0,1478.5,3350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,31,PL1 0,,,1.0,-15114.0,-15114.0,0.0,111.0,10150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,32,PT1 0,,,1.0,-9086.0,-9086.0,0.0,364.0,6300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,33,RO1 0,,,1.0,-6063.0,-6063.0,0.0,462.0,4350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,34,RS1 0,,,1.0,-431.0,-431.0,0.0,169.0,400.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,35,SE2 0,,,1.0,-15901.059523809523,-15966.0,0.0,689.0,11050.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,36,SI1 0,,,1.0,-312.5,-312.5,0.0,137.5,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
BASE,37,SK1 0,,,1.0,-703.0,-703.0,0.0,197.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
