snapshot,online_gfm_strength,online_gfl_exposure
227.0,15448.0,391.0
228.0,15448.0,567.0
229.0,15448.0,415.0
230.0,15448.0,255.0
231.0,15448.0,211.0
232.0,15448.0,316.0
233.0,15448.0,363.0
234.0,15448.0,619.0
235.0,15448.0,705.0
236.0,15448.0,701.0
237.0,15448.0,575.0
238.0,15448.0,645.0
239.0,15448.0,520.0
240.0,15448.0,517.0
241.0,15448.0,579.0
242.0,15448.0,417.0
243.0,15448.0,573.0
244.0,15448.0,578.0
245.0,15448.0,414.0
246.0,15448.0,557.0
247.0,15448.0,564.0
248.0,15448.0,809.0
249.0,15448.0,727.0
250.0,15448.0,781.0
251.0,15448.0,804.0
252.0,15448.0,789.0
253.0,15448.0,760.0
254.0,15448.0,742.0
255.0,15448.0,767.0
256.0,15448.0,751.0
257.0,15448.0,793.0
258.0,15448.0,794.0
259.0,15448.0,792.0
260.0,15448.0,770.0
261.0,15448.0,789.0
262.0,15448.0,686.0
263.0,15448.0,632.0
264.0,15448.0,564.0
265.0,15448.0,605.0
266.0,15448.0,435.0
267.0,15448.0,721.0
268.0,15448.0,275.0
269.0,15448.0,382.0
270.0,15448.0,697.0
271.0,15448.0,735.0
272.0,15448.0,826.0
273.0,15448.0,811.0
274.0,15448.0,796.0
275.0,15448.0,788.0
276.0,15448.0,767.0
277.0,15448.0,799.0
278.0,15448.0,802.0
279.0,15448.0,762.0
280.0,15448.0,787.0
281.0,15448.0,738.0
282.0,15448.0,724.0
283.0,15448.0,832.0
284.0,15448.0,784.0
285.0,15448.0,766.0
286.0,15448.0,716.0
287.0,15448.0,641.0
288.0,15448.0,677.0
289.0,15448.0,393.0
290.0,15448.0,568.0
291.0,15448.0,458.0
292.0,15448.0,578.0
293.0,15448.0,705.0
294.0,15448.0,713.0
295.0,15448.0,815.0
296.0,15448.0,732.0
297.0,15448.0,828.0
298.0,15448.0,828.0
299.0,15448.0,799.0
300.0,15448.0,804.0
301.0,15448.0,749.0
302.0,15448.0,780.0
303.0,15448.0,803.0
304.0,15448.0,764.0
305.0,15448.0,801.0
306.0,15448.0,796.0
307.0,15448.0,822.0
308.0,15448.0,690.0
309.0,15448.0,815.0
310.0,15448.0,754.0
311.0,15448.0,662.0
312.0,15448.0,747.0
313.0,15448.0,706.0
314.0,15448.0,615.0
315.0,15448.0,611.0
316.0,15448.0,661.0
317.0,15448.0,740.0
318.0,15448.0,740.0
319.0,15448.0,762.0
320.0,15448.0,759.0
321.0,15448.0,775.0
322.0,15448.0,749.0
323.0,15448.0,816.0
324.0,15448.0,818.0
325.0,15448.0,773.0
326.0,15448.0,812.0
327.0,15448.0,805.0
328.0,15448.0,780.0
329.0,15448.0,795.0
330.0,15448.0,813.0
331.0,15448.0,837.0
332.0,15448.0,771.0
333.0,15448.0,791.0
334.0,15448.0,751.0
335.0,15444.0,717.0
336.0,15433.0,513.0
