H,b_block,candidate_added_by_converter,candidate_export_compatibility,candidate_export_table,candidate_kind,candidate_sizing_policy,carrier,charge_efficiency,charge_rating,cost_inv_block,discharge_efficiency,discharge_rating,e_block,energy,energy_clamped,energy_policy,energy_policy_reason,energy_rating,energy_raw,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,ps,q_block_max,q_block_min,qs,shutdown_block_cost,startup_block_cost,status,storage_bus,type,x_gfm
3.5,7.5,,,,,,PHS,0.8660254037844386,240.0,2.6601782492922958e7,0.8660254037844386,240.0,26777.67608898595,120.0,false,clamp,,26777.67608898595,120.0,true,32,32,0.0,1,1,1.0,false,clip_na0_to_n0,IT3 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,23,gfm,
3.7,1.0,,,,,,hydro,0.0,119.9585987261146,3.5469043323897272e6,0.9,119.9585987261146,220867.07954364823,59.9792993630573,false,clamp,,1.1043353977182412e6,59.9792993630573,true,33,33,0.0,5,5,1.0,false,clip_na0_to_n0,IT3 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,23,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,900.0,2.6601782492922958e7,0.8660254037844386,900.0,26777.67608898595,450.0,false,clamp,,160666.0565339157,450.0,true,34,34,0.0,6,6,1.0,false,clip_na0_to_n0,LT6 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,24,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,2582.0,2.6601782492922958e7,0.8660254037844386,2582.0,26777.67608898595,1291.0,false,clamp,,455220.49351276114,1291.0,true,35,35,0.0,17,17,1.0,false,clip_na0_to_n0,LU1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,25,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,307.0,2.6601782492922958e7,0.8660254037844386,307.0,26777.67608898595,153.5,false,clamp,,53555.3521779719,153.5,true,36,36,0.0,2,2,1.0,false,clip_na0_to_n0,ME1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,27,gfm,
3.7,1.0,,,,,,hydro,0.0,344.961,3.5469043323897272e6,0.9,344.961,220867.07954364823,172.4805,false,clamp,,3.75474035224202e6,172.4805,true,37,37,0.0,17,17,1.0,false,clip_na0_to_n0,ME1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,27,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,282.3,2.6601782492922958e7,0.8660254037844386,282.3,26777.67608898595,141.15,false,clamp,,26777.67608898595,141.15,true,38,38,0.0,1,1,1.0,false,clip_na0_to_n0,NO2 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,30,gfm,
3.7,1.0,,,,,,hydro,0.0,29130.0962,3.5469043323897272e6,0.9,29130.0962,220867.07954364823,14565.0481,false,clamp,,3.215824678155518e8,14565.0481,true,39,39,0.0,1456,1456,1.0,false,clip_na0_to_n0,NO2 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,30,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,1798.0,2.6601782492922958e7,0.8660254037844386,1798.0,26777.67608898595,899.0,false,clamp,,294554.43697884545,899.0,true,40,40,0.0,11,11,1.0,false,clip_na0_to_n0,PL1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,31,gfm,
3.7,1.0,,,,,,hydro,0.0,132.9936305732484,3.5469043323897272e6,0.9,132.9936305732484,220867.07954364823,66.4968152866242,false,clamp,,1.3252024772618893e6,66.4968152866242,true,41,41,0.0,6,6,1.0,false,clip_na0_to_n0,PL1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,31,gfm,
3.5,7.5,,,,,,PHS,0.8660254037844386,3703.0,2.6601782492922958e7,0.8660254037844386,3703.0,26777.67608898595,1851.5,false,clamp,,642664.2261356628,1851.5,true,42,42,0.0,24,24,1.0,false,clip_na0_to_n0,PT1 0 PHS,150.0,1.0,45.0,-1.0,0.0,75.0,-75.0,0.0,0.0,0.0,1,32,gfm,
3.7,1.0,,,,,,hydro,0.0,881.4,3.5469043323897272e6,0.9,881.4,220867.07954364823,440.7,false,clamp,,9.718151499920523e6,440.7,true,43,43,0.0,44,44,1.0,false,clip_na0_to_n0,PT1 0 hydro,20.0,1.0,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,32,gfm,
3.7,1.0,,,,,,hydro,0.0,4449.9400000000005,3.5469043323897272e6,0.9,4449.9400000000005,220867.07954364823,2224.9700000000003,false,clamp,,4.903249165868991e7,2224.9700000000003,true,44,44,0.0,222,222,1.0,false,clip_na0_to_n0,RO1 0 hydro,20.0,0.9999999999999999,6.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,1,33,gfm,
