H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
0.0,0.0,offwind-dc,2.1344257162772287e7,5,1,true,32,32,0.015000000000000003,0,1,0.0,false,clip_na0_to_n0,BG1 0 offwind-dc,100.0,0.4115786448049546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,5,1,true,33,33,0.015000000000000001,14,2910,1.0,false,clip_na0_to_n0,BG1 0 onwind,50.0,0.15144074519821007,0.0,0.0,0.0,106.48101676376548,0.0,0.0,0.0,0.0,106.48101676376548,-106.48101676376548,0.0,0.0,gfl
2.7,2.5,ror,1.4957011246461473e7,5,1,true,34,34,0.0,2,2,1.0,false,clip_na0_to_n0,BG1 0 ror,50.0,0.5669158192480609,15.0,0.0,0.0,62.58750644498593,0.0,25.0,-25.0,0.0,62.58750644498593,-62.58750644498593,0.0,0.0,gfm
0.0,0.0,solar,1.7801035621902226e6,5,1,true,35,35,0.010000000000000002,21,4683,1.0,false,clip_na0_to_n0,BG1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,6,1,true,36,36,42.246743185547565,0,0,0.0,true,clip_na0_to_n0,CH1 0 CCGT,300.0,1.0,150.0,0.45,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,6,1,true,37,37,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,CH1 0 OCGT,300.0,1.0,150.0,0.2,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
3.3,2.5,biomass,1.3904153267802231e7,6,1,true,38,38,14.893617021276603,6,6,1.0,false,clip_na0_to_n0,CH1 0 biomass,50.0,1.0,25.0,0.0,0.0,335.2962,0.0,25.0,-25.0,0.0,335.2962,-335.2962,0.0,3.5,gfm
5.9,65.0,nuclear,9.188044017996469e8,6,1,true,39,39,11.378787878787877,2,2,1.0,false,clip_na0_to_n0,CH1 0 nuclear,1300.0,0.8699999999999999,520.0,0.5,0.0,2583.8999999999996,1485.0,650.0,-650.0,0.0,2583.8999999999996,-2583.8999999999996,0.0,260.0,gfm
0.0,0.0,onwind,4.804294400998315e6,6,1,true,40,40,0.015000000000000001,1,1553,1.0,false,clip_na0_to_n0,CH1 0 onwind,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
2.7,2.5,ror,1.4957011246461473e7,6,1,true,41,41,0.0,88,88,1.0,false,clip_na0_to_n0,CH1 0 ror,50.0,0.10864032362681525,15.0,0.0,0.0,482.3239263865541,0.0,25.0,-25.0,0.0,482.3239263865541,-482.3239263865541,0.0,0.0,gfm
