H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
0.0,0.0,offwind-ac,1.8938226140537657e7,11,1,true,78,78,0.015000000000000005,0,150,0.0,true,clip_na0_to_n0,EE6 0 offwind-ac,100.0,0.8782780498695415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,11,1,true,79,79,0.015000000000000003,0,22,0.0,false,clip_na0_to_n0,EE6 0 offwind-dc,100.0,0.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,11,1,true,80,80,0.015000000000000001,6,1874,1.0,false,clip_na0_to_n0,EE6 0 onwind,50.0,0.8780565007176115,0.0,0.0,0.0,277.4658542267653,0.0,0.0,0.0,0.0,277.4658542267653,-277.4658542267653,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,11,1,true,81,81,0.010000000000000002,2,1241,1.0,false,clip_na0_to_n0,EE6 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,12,1,true,86,86,0.015000000000000005,1,93,1.0,false,clip_na0_to_n0,ES1 0 offwind-ac,100.0,0.47919538680425466,0.0,0.0,0.0,1.5270545317399415,0.0,0.0,0.0,0.0,1.5270545317399415,-1.5270545317399415,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,12,1,true,87,87,0.015000000000000003,0,1,0.0,false,clip_na0_to_n0,ES1 0 offwind-dc,100.0,0.8356929676037866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,12,1,true,89,89,0.015000000000000001,536,18552,1.0,false,clip_na0_to_n0,ES1 0 onwind,50.0,0.3145258004227283,0.0,0.0,0.0,8437.425928111945,0.0,0.0,0.0,0.0,8437.425928111945,-8437.425928111945,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,12,1,true,91,91,0.010000000000000002,233,21592,1.0,false,clip_na0_to_n0,ES1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,13,1,true,94,94,0.015000000000000005,0,5,0.0,true,clip_na0_to_n0,ES4 0 offwind-ac,100.0,0.30738056153019055,0.0,0.0,0.0,0.033789737042426944,0.0,0.0,0.0,0.0,0.033789737042426944,-0.033789737042426944,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,13,1,true,95,95,0.015000000000000003,0,1,0.0,false,clip_na0_to_n0,ES4 0 offwind-dc,100.0,0.8146389850045017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,13,1,true,97,97,0.015000000000000001,5,126,1.0,false,clip_na0_to_n0,ES4 0 onwind,50.0,0.16721681638740432,0.0,0.0,0.0,43.134008915386985,0.0,0.0,0.0,0.0,43.134008915386985,-43.134008915386985,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,13,1,true,98,98,0.010000000000000002,2,199,1.0,false,clip_na0_to_n0,ES4 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,14,1,true,104,104,0.015000000000000005,1,392,1.0,false,clip_na0_to_n0,FI2 0 offwind-ac,100.0,0.8071777526443739,0.0,0.0,0.0,34.18818916405513,0.0,0.0,0.0,0.0,34.18818916405513,-34.18818916405513,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,14,1,true,105,105,0.015000000000000003,1,242,0.0,false,clip_na0_to_n0,FI2 0 offwind-dc,100.0,0.8794213539021468,0.0,0.0,0.0,26.9134017312803,0.0,0.0,0.0,0.0,26.9134017312803,-26.9134017312803,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,14,1,true,106,106,0.015000000000000001,63,15350,1.0,false,clip_na0_to_n0,FI2 0 onwind,50.0,0.302701366338246,0.0,0.0,0.0,960.7237608285682,0.0,0.0,0.0,0.0,960.7237608285682,-960.7237608285682,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,14,1,true,108,108,0.010000000000000002,7,2023,1.0,false,clip_na0_to_n0,FI2 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,15,1,true,113,113,0.015000000000000005,0,243,0.0,true,clip_na0_to_n0,FR1 0 offwind-ac,100.0,0.3631214203605473,0.0,0.0,0.0,0.16793477116538366,0.0,0.0,0.0,0.0,0.16793477116538366,-0.16793477116538366,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,15,1,true,114,114,0.015000000000000003,0,47,0.0,false,clip_na0_to_n0,FR1 0 offwind-dc,100.0,0.6476772713909371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,15,1,true,116,116,0.015000000000000001,343,19053,1.0,false,clip_na0_to_n0,FR1 0 onwind,50.0,0.13260102764874393,0.0,0.0,0.0,2275.6062216987843,0.0,0.0,0.0,0.0,2275.6062216987843,-2275.6062216987843,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,15,1,true,118,118,0.010000000000000002,233,33253,1.0,false,clip_na0_to_n0,FR1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,16,1,true,124,124,0.015000000000000005,51,505,1.0,false,clip_na0_to_n0,GB0 0 offwind-ac,100.0,0.4504882220154477,0.0,0.0,0.0,2319.3547173668876,0.0,0.0,0.0,0.0,2319.3547173668876,-2319.3547173668876,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,16,1,true,125,125,0.015000000000000003,45,404,0.0,false,clip_na0_to_n0,GB0 0 offwind-dc,100.0,0.542711965272532,0.0,0.0,0.0,2460.1199422877658,0.0,0.0,0.0,0.0,2460.1199422877658,-2460.1199422877658,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,16,1,true,126,126,0.015000000000000001,260,8048,1.0,false,clip_na0_to_n0,GB0 0 onwind,50.0,0.250359337818675,0.0,0.0,0.0,3261.678207301643,0.0,0.0,0.0,0.0,3261.678207301643,-3261.678207301643,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,16,1,true,128,128,0.010000000000000002,252,15701,1.0,false,clip_na0_to_n0,GB0 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,17,1,true,132,132,0.015000000000000005,2,25,1.0,false,clip_na0_to_n0,GB5 0 offwind-ac,100.0,0.19055030313209206,0.0,0.0,0.0,52.13943412631824,0.0,0.0,0.0,0.0,52.13943412631824,-52.13943412631824,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,17,1,true,133,133,0.015000000000000003,4,37,0.0,false,clip_na0_to_n0,GB5 0 offwind-dc,100.0,0.1452220571277618,0.0,0.0,0.0,62.063104345758724,0.0,0.0,0.0,0.0,62.063104345758724,-62.063104345758724,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,17,1,true,134,134,0.015000000000000001,21,635,1.0,false,clip_na0_to_n0,GB5 0 onwind,50.0,0.10295673923330484,0.0,0.0,0.0,110.569342704264,0.0,0.0,0.0,0.0,110.569342704264,-110.569342704264,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,17,1,true,135,135,0.010000000000000002,17,1153,1.0,false,clip_na0_to_n0,GB5 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,18,1,true,139,139,0.015000000000000005,0,149,0.0,true,clip_na0_to_n0,GR1 0 offwind-ac,100.0,0.1039313327742127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,18,1,true,140,140,0.015000000000000003,0,55,0.0,false,clip_na0_to_n0,GR1 0 offwind-dc,100.0,0.342392087826506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,18,1,true,142,142,0.015000000000000001,82,4193,1.0,false,clip_na0_to_n0,GR1 0 onwind,50.0,0.10653366952103424,0.0,0.0,0.0,438.1729827400138,0.0,0.0,0.0,0.0,438.1729827400138,-438.1729827400138,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,18,1,true,144,144,0.010000000000000002,64,4071,1.0,false,clip_na0_to_n0,GR1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,19,1,true,147,147,0.015000000000000005,0,77,0.0,true,clip_na0_to_n0,HR1 0 offwind-ac,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
